title,type,location,people,description
wEarthwhile,Advocacy or Policy,United States,11-50,"WearthWhile seeks to reconnect humanity back to Earth by addressing the issues facing the environment and, consequently, those in it. Work in the humanities is a real path for change because political marketing doesn’t appeal to people’s emotions the way that art and stories do. And it seems like getting people to connect to their own humanity and feelings is essential to our ability to connect and have compassion for others. We don’t want to distract, overwhelm, or create burden by adding more to social media with the endless stories surrounding the social sphere; the intention is to replace the focus back on the faces of the change. We don’t expect to approach society as what we think we want them to think, but instead what we want them to do and let them form what they should do.
| This is an intergenerational fight. We don’t want to have reform that will end climate change and environmental struggles by 80%. We want 100% improvement. To humanize the lives of climate change. To put a face to its impacts. To shine a light on the mostly unseen. |

Social photography … let there be light.
WearthWhile embodies social photography to shine a light on stories that aren’t accessible to the public. Our aim is to create a tool that primes for social reform or even a revolutionary movement. To be a part of that transition to fundamentally change how society views climate change and what is being done about it. The photoblog platform establishes positive and progressive discussion; at the heart of that is to include and recognize that people have feelings, experiences, beliefs, and inner conflicts that influence the way they perceive and assimilate information. The internet offers opportunities for greater transparency and public participation in our changing climate. WearthWhile is a photoblog [story platform] that gives back the voice to the people. The commitment through this organization is to put emphasis on the opinions, impacts, and experiences of people dealing with climate change and environmental problems. Narrative offers a powerful means to engage an audience and convey complex concepts. Stories employ the elements of successful narratives, including personalizing their story, drawing on emotions, and expressing their opinions. Dialogue rather than a debate offers the means to identify common purpose and foster constructive, evidence-based discourse."
Heila Technologies,Energy,"Boston, MA, USA",11-50,"The U.S. electricity system is struggling to adapt to the physical and political stresses of climate change and demands for greater efficiency, resiliency and community independence and control. The Heila Platform makes it possible for communities to literally grow lower cost, lower carbon microgrid solutions from the ground up.
Combing deep theoretical knowledge and practical industry experience, the team at Heila Technologies and is dedicated to simplifying the integration and operation of microgrids.
The company is actively working with vendors, developers, property owners, utilities and clean energy evangelists to establish the Heila Platform as the open standard through which all of us can collectively contribute to, and profit from, the rapid development of a greener and more resilient power production and distribution services."
Sunpower,Energy,"San Jose, CA, USA",5001-10000,"SunPower Corporation delivers high-performance solar electric systems worldwide for residential, commercial and utility-scale customers."
BrainBox AI,Buildings,"Montreal, QC, Canada",11-50,"We are proud to be at the forefront of a new era in building automation and a leader in the green building revolution. Located in Montreal, Canada, a global AI hub, our team is comprised of experts in the fields of AI, data science, real estate, HVAC and energy efficiency.
We are driven by the fact that 20% of global greenhouse gas emissions originate from buildings and that HVAC systems are responsible for over 50% of those emissions. Without serious intervention, these gases will only continue to rise, having detrimental impacts on our environment. At BrainBox AI we are fighting climate change by bringing innovation and cutting-edge artificial intelligence to the built environment, making buildings smarter and greener."
Sidewalk Infrastructure Partners,Buildings,"New York, NY, USA",11-50,"Sidewalk Infrastructure seeks to transform urban systems through technology. Sidewalk Infrastructure holds, operates, and invests in advanced infrastructure projects, as well as the technology companies applying innovations to these projects. Formed as a new spin-out company of Sidewalk Labs, the urban innovation business of Alphabet Inc. (Google’s parent company), Sidewalk Infrastructure believes in technology’s ability to make infrastructure more sustainable, intelligent, and efficient."
ZAF Energy Systems,Energy,"Joplin, MO, USA",11-50,"Our mission is to deliver proven energy storage solutions. We will accomplish our mission through innovation in, and production of, safe, and sustainable battery technologies which deliver superior performance and value that results in widespread customer acceptance. Through laser focus, dedication and execution, our team is committed to improving the sustainability of our planet and the lives of millions"
RWDC Industries,Materials & Manufacturing,"Athens, GA, USA",51-100,"RWDC develops biodegradable bioplastic that can be used to make cutlery, drinking straws and cup lids, foodand beverage packaging, as well as diapers, among other things. It produces medium-chain-length polyhydroxyalkanoate(mcl-PHA), which are naturally produced by bacterial fermentation of plant-based oils or sugar. RWDC’s PHA is certified to be fully biodegradable in soil, water and marine conditions."
Factory Farming Awareness Coalition,Advocacy or Policy,United States,11-50,-
Generate Capital,Energy,"San Francisco, CA, USA",51-100,"Founded in 2014, Generate builds, owns, and operates sustainable infrastructure to deliver affordable and reliable resource solutions for companies, governments, and communities. Generate currently has more than 25 technology and project development partners and serves more than 400 companies, universities, school districts, cities, and non-profits across North America. We build, own, operate and finance assets in:
- Sustainable Energy (microgrids, solar, energy storage, lighting, HVAC systems, fuel cells, geothermal, biomass & biogas, building automation & sensors, heat pumps, smart meters)
- Sustainable Mobility (electric vehicles, hydrogen vehicles, autonomous vehicles, charging depots & infrastructure, fleets)
- Sustainable Water, Waste & Agriculture (anaerobic digesters, wastewater treatment, desalination, food waste management, recycling/reuse, precision agriculture, farm automation, irrigation, sensors & meters).
To join the Infrastructure Revolution, visit generatecapital.com."
Zume Inc.,Materials & Manufacturing,"Mountain View, California, United States",101-250,"Zume is on a quest to be the most powerful source of health and well-being on the planet. They started by partnering people with technology to create a more thoughtful and efficient way to source, make, bake and deliver pizza. In the process, they are delivering an artisan pizza that takes care of the people who eat it and make it, and even takes better care of the planet we all love—a planet nearly 10 billion people will inhabit by 2050. The health and well-being of people and our planet is dependent upon sustainably feeding that population with wholesome, affordable food on a global scale. Zume is meeting this challenge with an end-to-end, scalable platform that reduces the time and distance between clean food sources and dense population centers, using cutting-edge automation and transportation logistics. By developing better tools and processes, they can feed people healthier, sustainably-grown food, delivered fresh and free from chemical stabilization."
Sila Nanotechnologies,Energy,"Alameda, California, United States",101-250,"Sila Nanotechnologies is an electronics company that offers new battery materials chemistry. It works directly with leading consumer electronics and automotive OEMs to help accelerate product roadmaps, and partners with battery manufacturers commercial cell production. The company was founded in 2011 and headquartered in California, United States."
Hannon Armstrong,Energy,"Annapolis, Maryland, United States",51-100,"Hannon Armstrong (NYSE: HASI) focuses on making investments in climate change solutions by providing capital to the leading companies in the energy efficiency, renewable energy and other sustainable infrastructure markets. Our goal is to generate attractive returns for our stockholders by investing in a diversified portfolio of investments that generate long-term, recurring and predictable cash flows from proven commercial technologies. Based in Annapolis, Maryland, Hannon Armstrong is proud to be the first U.S. public company solely dedicated to investments that reduce carbon emissions or increase resilience to climate change."
Sighten,Energy,"San Francisco, California, United States",11-50,"Sighten develops a software toolset to manage the complexity of distributed solar. It offers a platform that spans the entire lifecycle of a solar asset ranging from tools that streamline origination, system design, and sales/operations to features that automate ongoing reporting and analytics. Sighten also offers a reporting and analytics portal that brings solar up to speed with mature asset classes and real-time access to data and analysis tools; a pricing engine that accommodates the complexity of the structures used to finance solar and allows for sophisticated asset pricing logic and decisioning; and a downstream toolset that allows organizations to sell solar more effectively and manage the entire financing workflow from lead to operating asset. Its customers include tax equity investors, lenders, finance companies, developers, and installers. Conlan O'Leary and Graham Hommel founded Sighten in 2012. It has its headquarters in San Francisco in California."
Solstice,Energy,"Cambridge, Massachusetts, United States",11-50,"Solstice provides turnkey customer solutions for shared solar. It also offers subscriber aggregation and management services to solar developers, utilities, and other providers of shared solar energy. Employing community organizing techniques and the nation's first online marketplace and customer management platform for shared solar, Solstice leverages network effects to aggregate consumer demand and put more solar in the ground. Solstice goal is o use community solar to help these groups meet one another and to unlock the possibility of solar power for these households. It has received the MassChallenge Silver Award, Kia Revisionaries Award, and Gold Stevie Award. Solstice was founded in 2014 and is headquartered in Cambridge, USA."
Pattern Energy Group,Energy,"San Francisco, California, United States",101-250,"Pattern is a premium independent power company. We own and operate eight wind power projects in the United States, Canada and Chile that use proven, best-in-class technology and have a total owned capacity of 1,041 MW. These projects generate stable long-term cash flows in attractive markets that have strong growth potential. Each of our projects has contracted to sell all of its energy output, or a majority, on a long-term, fixed-price power sale agreement with a creditworthy counterparty. Ninety-five percent of the electricity to be generated by our projects will be sold under these power sale agreements, which have a weighted average remaining contract life of approximately 19 years."
Fenix International,Energy,"San Francisco, California, United States",51-100,"Fenix International produces ultra-affordable mobile enabled solar solutions to empower more than 1.3 billion people living off-grid. Fenix is a for-profit corporation based in San Francisco, California with customers across Africa, Asia and Latin America and core expertise in power electronics, product design and base-of-the-pyramid marketing. Fenix has been prominently featured in the New York Times, Bloomberg, Fast Company, Popular Mechanics, CNET, VentureBeat, and has won numerous awards and honors since it was founded in 2009."
Sparkfund,Energy,"Washington, District of Columbia, United States...",11-50,"SparkFund is a financial technology company located in Washington, DC that lets businesses pay over time for energy efficient products and services. SparkFund builds the software and tools necessary to sell products ""As a Service"". Vendors increasingly want to sell their products ""As a Service"". This mode of sale ensures the customer sees a simple monthly payment that is lower than the financial benefits created by the product. All the complexity of ownership, software, analytics, and O&M are kept behind the curtain, driving significant growth in sales."
Square Roots Urban Growers,"Food, Agriculture, & Land Use","Brooklyn, New York, United States",101-250,"Our Food
We are an indoor urban farming company connecting people in cities to local, real food. Our quality fresh produce—grown without pesticides or GMOs—is available at grocery stores and restaurants in the same communities as we build our farms.
Our Technology
Square Roots is building a scalable farm-tech platform to enable the sustainable, distributed and resilient food system that our near-future needs. Our farmers work in harmony with our technology to grow real food, predictably and consistently, in any location, all year round.
Our People
At the heart of Square Roots is our team, growing and distributing fresh food with love and care, while opening new pathways for more young people to enter the urban agriculture industry—and become its future leaders."
Voltaiq,Energy,"Berkeley, California, United States",11-50,"Voltaiq offers a battery intelligence analytics platform that provides insights about batteries. It offers its services for battery OEMs, consumer electronics, automotive, and grid-scale energy storage industries. Voltaiq was founded by Tal Sholklapper and Eli Leland in 2012. It is based in Berkeley, California."
Nexamp,Energy,"Boston, Massachusetts, United States",51-100,"Nexamp is leading the transformation to the new energy economy with proven solutions for the deployment and operation of solar energy assets. Our comprehensive capabilities span the entire solar project lifecycle ‚Äì from project development, design and construction, through financing, operations and maintenance. Our integrated, best-in class solutions make solar energy simple and profitable for our clients and partners, and make an impact every day. With a rapidly expanding network of property owners, businesses, communities and residents benefitting from our growing portfolio of solar assets across the US, Nexamp is laying the groundwork for a cleaner, more secure energy future."
SkySpecs,Energy,"Ann Arbor, Michigan, United States",11-50,"SkySpecs automates the inspection, diagnostics, and maintenance of utility scale wind turbines with custom autonomous drones. The company develops an affordable form of energy, through the use of an automated drone inspection service and analytics platform that allows for repeatability, high-quality data, and safer inspections. SkySpecs was founded on 2012 and is based in Ann Arbor, Michigan."
Modern Meadow,Materials & Manufacturing,"Brooklyn, New York, United States",11-50,"Modern Meadow is developing fundamentally new approaches to growing animal products. This includes cultured leather and meat products which require no animal slaughter and much lower inputs of land, water, energy and chemicals."
Volta Charging,Energy,"San Francisco, California, United States",101-250,"We set out to accelerate the arrival of EV charging. We built the most utilized EV charging network in the US – offering free charging to drivers wherever they like to be. Our growing network of charging stations reaches millions of qualified customers with premium place-based, interactive content in a sustainable format. Our stations double as an ad platform that increases the value of real estate by engaging new audiences and telling high impact stories using sustainable technology. Our mission is to build out the future of EV charging infrastructure with stations at the places you already visit. It's powered by sustainable technology and a team of innovative partners. It's seamless, simple and free. Refueling no longer needs to be disruptive."
Dandelion Energy,Energy,"New York, NY, USA",11-50,"Dandelion is a home geothermal company offering affordable geothermal installations that provide heating, cooling and hot water to homes by exchanging heat with the ground beneath them. Dandelion became an independent company in Spring 2017, after getting started at X , ""the innovation engine of Alphabet.""​"
Project Drawdown,Research & Education,Remote,11-50,"Founded in 2014, Project Drawdown is a nonprofit organization that seeks to help the world reach “Drawdown”— the future point in time when levels of greenhouse gases in the atmosphere stop climbing and start to steadily decline.

Since the 2017 publication of the New York Times bestseller, Drawdown, the organization has emerged as a leading resource for information and insight about climate solutions. We continue to develop that resource by conducting rigorous review and assessment of climate solutions, creating compelling and human communication across mediums, and partnering with efforts to accelerate climate solutions globally.
Cities, universities, corporations, philanthropies, policymakers, communities, educators, activists, and more turn to Project Drawdown as they look to advance effective climate action. We aim to support the growing constellation of efforts to move climate solutions forward and move the world toward Drawdown—as quickly, safely, and equitably as possible.
A 501(c)(3) nonprofit organization, Project Drawdown is funded by individual and institutional donations.

Our Vision

Stopping global warming is possible, with solutions that exist today. In order to do this, we must work together to achieve Drawdown, the point when greenhouse gas levels in the atmosphere start to decline.

Our Mission

Project Drawdown is helping the world stop global warming by achieving Drawdown — as quickly, safely, and equitably as possible.

Our History

Project Drawdown was initially co-founded in 2014 by Paul Hawken and Amanda Ravenhill to uncover the most substantive solutions to stop climate change, and to communicate them to the world."
Redaptive,Energy,"San Francisco, CA, USA",11-50,"Redaptive makes buildings more efficient one saved kilowatt hour at a time. We are breaking down the barriers to portfolio-wide energy efficiency deployments through our Efficiency-as-a-Service (EaaS) platform – empowering companies to optimize their real estate portfolios and save millions on their energy bills. Our EaaS platform builds the foundation for future investments in both resource efficiency and smart building innovation. Founded in 2014, Redaptive manages a national portfolio of energy efficiency projects across 30+ states for leading F500 companies like, McKesson and Aramark, among others. Redaptive has received funding from CBRE, the world’s largest commercial real estate services and investment firm, ENGIE, a global energy player, GXP Investments, the venture capital arm of Great Plains Energy Incorporated, and Linse Capital, a Silicon Valley-based growth capital firm. Headquartered in San Francisco, California, our creative team of business and technology experts is at the core of our success in delivering a groundbreaking platform to accelerate energy efficiency adoption."
IEEFA,Advocacy or Policy,"Cleveland, OH",11-50,"The Institute for Energy Economics and Financial Analysis is seeking to retain a consultant to conduct research on the oil and gas industry in the Permian Basin.

Background on the Institute for Energy Economics and Financial Analysis (IEEFA)
The Institute for Energy Economics and Financial Analysis (IEEFA) conducts research and analyses on financial and economic issues related to energy and the environment. The Institute’s mission is to accelerate the transition to a diverse, sustainable and profitable energy economy.

The IEEFA team is a committed group of professionals with expertise in finance, energy and communications. The organization is headquartered in Cleveland, Ohio, and key personnel are located in several U.S. cities, as well as Hong Kong, Jakarta, Manila, London and Sydney. We prefer that the Permian Basin analyst be located in Texas.

IEEFA produces a significant volume of original research products, as well as ongoing analysis and reports on issues affecting energy industries. Our major research reports, daily commentaries, press coverage and other resources can be found on our website, www.ieefa.org.

The organization’s research products are used by a variety of organizations and individuals involved in the energy industry, including environmental advocates, business and labor leaders, financial analysts, academic researchers, legislators, attorneys and government administrators.  IEEFA’s work is widely cited in both the mainstream media and in trade publications."
Artisan Electric Inc.,Energy,"Seattle, WA, USA",11-50,"Artisan Electric Inc. was founded in 2007 by Jason Williams, a union journeyman and experienced residential and commercial electrician who wanted to exercise his passion for energy efficiency and renewable energy solutions. He formed Artisan Electric as a signatory IBEW contractor and hired other professionally trained union electricians from the Local 46 hall, and began to focus on designing and constructing the highest quality solar installations in a fledgling industry.
Several years and much success later, Artisan outgrew the offices on Vashon Island, and in 2013, relocated to our permanent headquarters in the historic Georgetown neighborhood of Seattle. Artisan has grown to a total of 31 full time staff (and growing).
To date, Artisan has installed over 1000 solar photovoltaic (PV) systems totaling more than 7,000 kW of production capacity."
Kairos Aerospace,Energy,"Mountain View, CA, USA",11-50,"Kairos merges the Silicon Valley culture of innovation and business speed with deep knowledge of scientific instruments and aerospace technology. We are changing the way energy data is collected and used. Instead of selling hardware, we sell information. By combining physical science expertise with the latest data analytics, we pull never-before-seen hard data from the physical world in real time. Once we've tapped into a new source of raw information, we refine it into data products that produce real value, for real businesses."
Energy Futures Initiative,Advocacy or Policy,"Washington, DC, USA",11-50,"The Energy Futures Initiative advances solutions to the climate crisis through building coalitions, thought leadership, and evidence-based analysis. Under the leadership of Ernest J. Moniz, the 13th Secretary of Energy, all final EFI analysis is peer-reviewed, published, and publicly available."
INDOW,Energy,"Portland, OR, USA",11-50,"INDOW CAREERS  WE'RE HIRING IN PORTLAND, OREGON Join a cleantech startup team building a great company while making a positive difference in our world. We're committed to continuous learning as we innovate ever better ways to make Indow window inserts more accessible to customers. If you love creative collaboration and disciplined execution, we hope you'll apply. Our work is challenging, but we believe in each other and promote from within. Some in our senior executive team started in entry-level positions and grew to take on greater responsibility. There's no place like our startup culture to learn new skills and make a huge impact on the company's future. Each day, you'll feel satisfaction knowing your work is resulting in dramatically lower carbon emissions while helping people enjoy quiet, comfort and lower energy bills. Hint: Check out our company values. They really matter to us!"
Swiftly,Transportation,"San Francisco, CA, USA",11-50,"Built by transportation experts for transportation professionals, the Swiftly platform harnesses billions of data points and sophisticated algorithms to improve transit system performance, service reliability, and real-time passenger information. Cities from coast to coast use Swiftly's technology platform, improving transportation services for millions of riders each day."
Iteros,Energy,"San Diego, CA, USA",51-100,"With over 25 years of combined experience in the energy sector, the Iteros team has a deep understanding of the complexities of the evolving grid. Our team is devoted to providing our customers with innovative solutions that reduce system costs throughout the lifetime of every project."
Lionano,Energy,"Woburn, MA, USA",11-50,"Lionano is a next-generation battery technology company dedicated to rapid research, development, and commercialization of advanced battery materials. Lionano was founded in 2013 by a group of Cornell University PhD and MBA alumni, in collaboration with H"
Terra-Gen Power,Energy,"New York, NY, USA",251-500,"About Terra-Gen: Terra-Gen was established in August 2007, led by an experienced executive management team averaging over 25 years of relevant industry experience. The team has contracted or re-contracted over 10,000 MW of power generation facilities and has developed or acquired over $25 billion in assets over their careers. Our Focus:L As a leading renewable energy developer that operates over 1.3 GW of wind, solar, and geothermal facilities, we specialize in development, construction, and operation of utility-scale wind, solar, energy storage, and geothermal generation facilities. Our Sponsor: Energy Capital Partners is a private equity firm focused on investing in North America's energy infrastructure and acquired Terra-Gen in 2015. Since 2005, ECP has raised over $13 billion in commitments, utilizing this capital to build and acquire investment platforms across multiple energy sub-sectors."
Resource Innovations,Energy,"Half Moon Bay, CA, USA",51-100,"Resource Innovations is a women-owned, community-focused environmental consultancy working to transform the model of resource efficiency and create sustainable impacts that benefit all of us. We have a vision to empower everyone, particularly the most vulnerable, with equal access to clean and sustainable energy and water.

WE EMPOWER EFFICIENCY INNOVATION
With our deep roots in designing and delivering energy savings programs across the nation, we understand the power of energy efficiency. We also know there’s still so much more to do. We’re shaping the future with innovative approaches that apply the proven benefits of energy efficiency to new models of energy generation, distribution, and consumption, including renewables, microgrids, smart homes, and connected devices.

WE CONNECT ENERGY AND COMMUNITY
Efficiency means more than lower utility bills. It increases property value, business profitability, and personal comfort and quality of life. We are passionate about bringing diverse groups of utilities, trade allies, community organizations, and consumers to the table, so that we can all collaborate to reach a common goal: making clean and sustainable resources more available, more accessible, and more affordable, for all populations.

WE TRANSFORM EFFICIENCY INTO IMPACT
With purposeful engagement of the right partners, we create synergies for massive impact. We design community-centric programs and platforms to facilitate seamless access to efficiency services, simplifying utility-to-consumer communication and coordination.
The net effect is programs that reach more people, more cost-effectively, more quickly. The transformation happens when a one-time change cascades into a lifetime of sustainable savings."
Recology,Buildings,"San Francisco, CA, USA",5001-10000,"Recology, an employee-owned company, sees a world without waste, where resources are used and re-used in a sustainable ecosystem that strives for their best and highest use. Recology carries out its vision of a world without waste through educational programs and innovative engineering services. Recology is a company dedicated to building exceptional resource ecosystems that protect the environment and sustains their communities. Where the world sees waste, Recology see resources. Most of the world's waste-related resources are being stored in unsustainable landfills or are being partially reprocessed into low-end products. A fundamental challenge to the communities and the environment is to return resources to their best and highest use. Recology services move the proportion of resources that communities today call waste"
Extensible Energy,Energy,"Lafayette, CA, USA",11-50,"What We Provide: Pioneering Solutions and Professional People Extensible Energy's client services span strategy, program planning and evaluation, economic modeling, and delivery of advanced technology solutions. We deploy the appropriate domain experts for each client, for each project. Our teams use a structured collaborative approach that results in timely completion of agreed-upon milestones throughout each engagement. The EE client services team takes pride in bringing high-quality deliverables to our clients  on time, in budget, and right the first time. How We Work Innovation, Collaboration, and Partnership Extensible Energy's involvement with State and Federally sponsored programs earns them great pride and recognition. The team collaborates with some of the best engineering, mathematical, and logistical minds in the renewable energy industry using innovation and clarity in building the tools that make renewable energy work for everyone. Solutions are shaped in a constructive, collaborative, and iterative method. Integrating ideas from the entire energy ecosystem requires deeply understanding the intricate complexities of specific rate and tariff schedules, disparate climates and topographies, regional regulations, bureaucracies, and other common barriers."
Renewable Energy Trust Capital,Energy,"San Francisco, CA, USA",11-50,"ACCELERATING THE GROWTH OF PROFITABLE, UTILITY-SCALE RENEWABLE ENERGY: Renewable Energy Trust Capital, Inc. (RET Capital) is accelerating the growth of renewable energy. We offer innovative and flexible low-cost financing for wind and solar projects, a unique partnership model, and a deep bench of experienced professionals with unparalleled expertise in surmounting regulatory and financial obstacles. For developers of renewable energy projects, RET Capital reduces risk and helps ensure success. By acquiring a diversified portfolio of high-quality wind and solar generation facilities with long-term contracts for energy delivery, RET Capital creates a predictable and profitable revenue stream. Powering the world can be complicated. We make it simple. RET Capital."
Baykeeper,Advocacy or Policy,"San Francisco, CA, USA",11-50,"Founded in 1989, San Francisco Baykeeper works to reverse the environmental degradation of the past and promote new strategies and policies to protect the water quality of the San Francisco Bay. For 30 years, Baykeeper has been the premiere watchdog of the water quality of San Francisco Bay.
Today, we are tackling the greatest threats to the health of the Bay and its wildlife. Using the many tools at our disposal advocacy, water quality monitoring and science, on-the-water patrols, public education and, when necessary, legal action Baykeeper compels polluters to stop contaminating our waterways and holds government agencies accountable for safeguarding and restoring the waters that belong to all of us."
Energy and Environmental Economics (E3),Advocacy or Policy,"San Francisco, CA, USA",51-100,"Founded in 1989, Energy + Environmental Economics (E3) is a fast-growing energy consulting firm that helps utilities, regulators, policy makers, developers, and investors make the best strategic decisions possible as they implement new public policies, respond to technological advances, and address customers' shifting expectations.
Because E3 works with clients from all sectors of the electricity industry, we provide a 360-degree understanding of markets, planning, policy, regulation, and environmental factors. Just as important, we are committed to delivering clear, unbiased analyses that help clients make informed decisions. E3, based in San Francisco with a planned office in New York City, works on high-profile, high-impact projects in jurisdictions that lead in implementing clean energy policy. In California, for example, E3 has supported utilities, state agencies, and the market operator in developing the infrastructure, programs, and plans that will realize the state's goal of meeting a 50 percent renewable portfolio standard by 2030."
BioCellection,Materials & Manufacturing,"Menlo Park, CA, USA",11-50,"BioCellection is a social enterprise, developing advanced technologies to transform unrecyclable plastics into virgin-quality chemicals for sustainable supply chains. By focusing on the 91% of plastic waste too contaminated and difficult to recycle, we are unlocking a massive resource that leads to unprecedented opportunities.
OUR VISION Our modern world is enabled by plastics. To keep our world beautiful, we need to use plastic waste sustainably. We envision a future where all end-of-life plastics will be recycled indefinitely. To achieve this goal, we must develop and scale key innovations to turn plastic waste into quality products that can serve sustainable markets.
OUR MISSION We're pushing the frontiers of innovation in the field of plastic recycling by developing novel, scalable, and sustainable processes that treat hard-to-recycle plastic waste. We partner with organizations to scale and deploy the inventions that we build to make big impacts around the world."
Square Roots,"Food, Agriculture, & Land Use","Brooklyn, NY, USA",11-50,"Bringing local, real food to people in cities around the world by empowering next-gen leaders in urban farming. Our cities are at the mercy of an industrial food system that ships in high-calorie, low-nutrient, processed food from thousands of miles away. It leaves us disconnected from the comfort, the nourishment, and the taste of foodnot to mention the people who grow it. The results are awful, from obesity and diabetes epidemics to massive impact on the planet. It's no surprise that people are turning against this system. People want real, local foodfood you can trust to nourish your body, the community, and the planet. And they want it all year round, grown in the cities where they live. Finding the right solutions presents an extraordinary opportunity for entrepreneurial leaders who understand urban agriculture, local food systems, and the transparency and trust that personal relationships bring to food. We created Square Roots as a platform to empower these leaders so we can work together to tackle this enormous opportunity. Urban Farming Business: We are a seed-to-sales urban farm, connecting people in cities to local, real food. The farm team grows a variety of fresh and flavorful herbs in indoor, vertical farms, right in the heart of Brooklyn. We hand-harvest, self-package, and herb-trike-deliver to retail stores across NYC. Our herbs are non-GMO, pesticide-free, and grown with love. Farmer Technology Platform: We develop human-centered farming technology that surrounds our farmers with data, insights, and tools, so they can grow high quality food, all year round, using the fewest resources possible. Our cloud-connected, modular farms utilize a water-efficient hydroponic growing system, and are constructed inside refurbished shipping containers. This enables a distributed approach to farmingmeaning we can grow food in the neighborhoods where our customers live and shop, providing deep connections between the consumer, their food, and the people who grow it. Next-Gen Farmer Training Program: At the heart of Square Roots is the Next-Gen farmer training program, which creates opportunities for more people to become farmersand future leaders in urban farmingthrough a year-long commitment on the Square Roots team. No experience is necessary to applyjust the passion and dedication to bring local, real food to people in cities and to connect with consumers and the community throughout NYC."
Stem,Energy,"Millbrae, CA, USA",101-250,"Vision Stem creates innovative technology services that transform the way energy is distributed and consumed. Mission Stem's mission is to build and operate the largest digitally connected energy storage network for our customers. Our world class analytics will optimize the value of customer's energy assets and facilitate their participation in energy markets, yielding economic and societal benefits while decarbonizing the grid. Values Integrity > in everything we do One Team > success through collaboration Innovation > deliver the most compelling solutions Customer Centricity > enable customer value Execution > exceed commitments. Stem is looking for highly motivated, passionate individuals to join our team. We come from many disciplines and backgrounds. In the words of one of our employees, This is a collection of the most interesting things I've always wanted to do."
Wunder,Energy,"Boulder, CO, USA",11-50,"We make investing in solar dead simple. Wunder Capital develops and manages solar investment funds by leveraging its national partnership network, tested processes, proprietary underwriting framework, and best-in-class online investment portal. Wunder actively manages everything, from the sourcing of commercial solar opportunities, to the underwriting, contracting, and construction of each project. Once a system is live, Wunder manages the ongoing operation and maintenance of the array, bills the energy customer, and distributes proceeds to investors."
Advano,Energy,"San Francisco, CA, USA",11-50,Utilizing silicon in place of graphite is a notoriously difficult problem. A successful integration is akin to solving a Rubik's Cube achieving one trait compromises others and requires fine tuning that most material companies do not have. Many material companies claim to have a drop-in
Alternative Energy Development Group (AEDG),Energy,"Berwyn, PA, USA",501-1000,"Alternative Energy Development Group (AEDG) helps commercial-scale clients reduce their energy demand, reduce their energy supply costs, and become more sustainable and resilient. We develop, finance, own and operate commercial- and industrial-scale clean energy projects, and serve as Fund Manager and General Partner for the Alternative Energy Infrastructure Projects Fund I LP. Our singular focus is solving customers' energy needs by utilizing the latest clean energy technologies to achieve meaningful financial, sustainability and resiliency benefits."
Northwest Renewable Energy Institute,Energy,"Vancouver, WA, USA",11-50,"About Us Our school opened its doors as International Air Academy in 1979. The founder, Arch Miller, was working as a dedicated and experienced professional in the airline industries when he chose to utilize his talents in a new way. Miller's career began by attending a travel school where he gained enough experience to earn his first job as a ramp agent and later moved on to reservations. Miller worked his way up to staff vice president at Hughes Airwest, now part of Northwest Airlines, before opening his own training school in Vancouver, Washington. In 2004, Mr. Miller expanded on the school's success with the hotel, restaurant & event management and culinary arts training program Northwest Culinary Institute. With the increased need for renewable energy, and in turn, the need for qualified technicians, the Academy has expanded again with Northwest Renewable Energy Institute. In 2013 Northwest Railroad Institute was born to help fill the upcoming positions that will be available with the retiring generation of conductors. International Air and Hospitality Academy, Inc. is accredited by the Accrediting Commission of Career Schools and Colleges. The Accrediting Commission is listed by the U.S. Department of Education as a nationally recognized accrediting agency under the provisions of Chapter 33, Title 38, US Code and subsequent legislation. Our campus is approved for training of veterans and veteran beneficiaries. Those who qualify for educational benefits through the Bureau of Indian Affairs may also have certain student costs paid through its agencies. Interested parties may review International Air and Hospitality Academy's credentials: accreditation, approvals and/or licenses by contacting the school's director."
Axiom Exergy,Energy,"Berkeley, CA, USA",11-50,"An industry first, the Refrigeration Battery makes it possible for supermarkets, cold-storage facilities, and food processors to intelligently store and deploy refrigeration. The battery plugs into your refrigeration system, just like a display case. It stores thermal energy produced by your refrigeration system during off-peak hours, and deploys it during on-peak hours. As a result, electricity demand is reduced by up to 40 percent during peak hoursa significant cost savings."
